timestamp,label,nof_ues,cqi,pusch_snr,pucch_snr,dl_ok,dl_nok,dl_bler
1777523441.371351596,baseline,1,50,0.0,5.2,0,0,0.0
1777523442.370738025,baseline,1,50,0.0,4.6,0,0,0.0
1777523443.369414298,baseline,1,50,30.2,4.3,0,0,0.0
1777523444.373007322,baseline,1,50,0.0,5.2,0,0,0.0
1777523445.370517452,baseline,1,50,29.2,4.5,0,0,0.0
1777523461.370256586,baseline,1,50,0.0,4.6,0,0,0.0
1777523462.370467556,baseline,1,50,0.0,4.7,0,0,0.0
1777523463.370957746,baseline,1,50,30.9,4.9,0,0,0.0
1777523464.376366079,baseline,1,50,0.0,4.3,0,0,0.0
1777523465.374680600,baseline,1,50,0.0,4.1,0,0,0.0
1777523466.371749128,baseline,1,50,0.0,4.8,0,0,0.0
1777523467.361411358,baseline,1,50,0.0,5.1,0,0,0.0
1777523468.363054200,baseline,1,50,0.0,5.0,0,0,0.0
1777523469.369354101,baseline,1,50,29.3,5.4,0,0,0.0
1777523489.372961677,constant_amp0.01,1,50,0.0,4.8,0,0,0.0
1777523490.377849441,constant_amp0.01,1,50,30.3,5.7,0,0,0.0
1777523491.374863157,constant_amp0.01,1,42,30.6,-0.1,4,5,.5555
1777523492.374341817,constant_amp0.01,1,50,0.0,4.6,0,0,0.0
1777523493.361945467,constant_amp0.01,1,50,0.0,5.1,0,0,0.0
1777523494.364314890,constant_amp0.01,1,50,0.0,4.8,0,0,0.0
1777523495.368857841,constant_amp0.01,1,50,0.0,4.3,0,0,0.0
1777523496.375856638,constant_amp0.01,1,50,0.0,5.0,0,0,0.0
1777523497.368566910,constant_amp0.01,1,50,31.2,4.8,0,0,0.0
1777523498.366767698,constant_amp0.01,1,50,30.8,4.7,0,0,0.0
1777523517.373522613,constant_amp0.05,1,50,0.0,4.5,0,0,0.0
1777523518.373055703,constant_amp0.05,1,50,0.0,4.3,0,0,0.0
1777523519.372426037,constant_amp0.05,1,49,30.4,5.4,0,0,0.0
1777523520.373692351,constant_amp0.05,1,50,0.0,4.7,0,0,0.0
1777523521.369369953,constant_amp0.05,1,50,30.3,5.6,0,0,0.0
1777523522.369389583,constant_amp0.05,1,50,31.1,4.7,0,0,0.0
1777523523.370236931,constant_amp0.05,1,50,31.0,4.7,0,0,0.0
1777523524.374223720,constant_amp0.05,1,50,0.0,5.0,0,0,0.0
1777523525.376169384,constant_amp0.05,1,50,0.0,4.4,0,0,0.0
1777523541.375516755,constant_amp0.1,1,42,0.0,1.5,2,0,0
1777523542.372004815,constant_amp0.1,1,50,0.0,4.7,0,0,0.0
1777523543.374246367,constant_amp0.1,1,50,0.0,4.8,0,0,0.0
1777523544.372446396,constant_amp0.1,1,50,0.0,4.5,0,0,0.0
1777523545.370928570,constant_amp0.1,1,50,30.3,5.4,0,0,0.0
1777523546.376809989,constant_amp0.1,1,50,0.0,5.0,0,0,0.0
1777523547.378977468,constant_amp0.1,1,50,0.0,5.3,0,0,0.0
1777523548.379893767,constant_amp0.1,1,50,0.0,5.9,0,0,0.0
1777523549.369996483,constant_amp0.1,1,41,0.0,-0.4,2,5,.7142
1777523550.378641160,constant_amp0.1,1,49,0.0,5.3,2,0,0
1777523568.375739114,constant_amp0.3,1,50,28.8,4.7,0,0,0.0
1777523569.376947137,constant_amp0.3,1,50,0.0,5.2,0,0,0.0
1777523570.373822204,constant_amp0.3,1,50,0.0,5.2,0,0,0.0
1777523571.373747220,constant_amp0.3,1,50,0.0,4.8,0,0,0.0
1777523572.372750887,constant_amp0.3,1,50,29.7,4.0,0,0,0.0
1777523573.372759999,constant_amp0.3,1,50,30.7,4.3,0,0,0.0
1777523574.375816638,constant_amp0.3,1,50,0.0,4.6,0,0,0.0
1777523575.374352625,constant_amp0.3,1,50,0.0,5.0,0,0,0.0
1777523576.378807448,constant_amp0.3,1,50,0.0,4.5,0,0,0.0
1777523593.381310295,constant_amp0.5,1,47,-8.1,-2.9,5,43,.8958
1777523594.365873317,constant_amp0.5,1,18,0.0,-9.1,0,35,1.0000
1777523595.372624160,constant_amp0.5,1,0,0.0,-12.9,1,11,.9166
1777523596.379681220,constant_amp0.5,1,0,0.0,-13.0,0,5,1.0000
1777523597.376120368,constant_amp0.5,1,0,0.0,-12.7,1,12,.9230
1777523598.376709924,constant_amp0.5,1,0,0.0,-11.9,1,11,.9166
1777523599.375543251,constant_amp0.5,1,0,3.2,-11.5,0,25,1.0000
1777523600.377519092,constant_amp0.5,0,,,,,,0.0
1777523601.378474122,constant_amp0.5,0,,,,,,0.0
1777523773.280510599,constant_amp0.4,1,1,0.0,-13.9,1,10,.9090
1777523774.280968880,constant_amp0.4,1,0,0.0,-13.7,0,20,1.0000
1777523775.277579766,constant_amp0.4,1,0,-22.6,-14.5,1,18,.9473
1777523776.285150791,constant_amp0.4,1,0,0.0,-14.9,0,28,1.0000
1777523777.275305750,constant_amp0.4,0,,,,,,0.0
1777523778.277483489,constant_amp0.4,0,,,,,,0.0
1777523779.277019732,constant_amp0.4,0,,,,,,0.0
1777523780.283051508,constant_amp0.4,0,,,,,,0.0
1777523781.276520217,constant_amp0.4,0,,,,,,0.0
1777523863.976359106,constant_amp0.35,1,50,0.0,3.8,0,5,1.0000
1777523864.976134125,constant_amp0.35,1,50,30.4,3.7,0,0,0.0
1777523865.975109329,constant_amp0.35,1,50,0.0,4.7,0,0,0.0
1777523866.981421633,constant_amp0.35,1,50,0.0,3.7,2,4,.6666
