timestamp,label,nof_ues,cqi,pusch_snr,pucch_snr,dl_ok,dl_nok,dl_bler
1777557075.066759091,Normal,1,50,0.0,5.3,0,0,0.0
1777557076.068997748,Normal,1,50,0.0,5.0,0,0,0.0
1777557077.067899030,Normal,1,50,0.0,4.7,0,0,0.0
1777557078.067227861,Normal,1,50,31.2,5.0,0,0,0.0
1777557079.064811152,Normal,1,50,0.0,4.8,0,0,0.0
1777557080.066199464,Normal,1,50,0.0,4.7,0,0,0.0
1777557081.061162353,Normal,1,50,0.0,4.3,0,0,0.0
1777557082.067667329,Normal,1,50,0.0,4.4,0,0,0.0
1777557083.067387284,Normal,1,50,30.2,5.1,0,0,0.0
1777557084.063771397,Normal,1,50,30.6,4.7,0,0,0.0
1777557085.067692545,Normal,1,50,0.0,4.2,0,0,0.0
1777557086.066730950,Normal,1,50,29.8,3.8,0,0,0.0
1777557087.065045498,Normal,1,50,0.0,4.1,0,0,0.0
1777557088.069710767,Normal,1,50,0.0,4.0,0,0,0.0
1777557089.064407053,Normal,1,50,30.8,5.2,0,0,0.0
1777557090.065618388,Normal,1,50,30.6,5.3,0,0,0.0
1777557091.067412804,Normal,1,50,0.0,5.3,0,0,0.0
1777557092.065564706,Normal,1,50,0.0,4.6,0,0,0.0
1777557093.065305958,Normal,1,50,0.0,5.4,0,0,0.0
1777557124.068157938,Constant,1,47,29.3,-1.0,2,31,.9393
1777557125.071666172,Constant,1,49,30.6,3.0,1,13,.9285
1777557126.072681023,Constant,1,48,0.0,1.4,1,32,.9696
1777557127.067241394,Constant,1,48,0.0,-0.8,2,36,.9473
1777557128.075127199,Constant,1,48,0.0,1.5,4,31,.8857
1777557129.069192577,Constant,1,48,0.0,2.4,4,18,.8181
1777557130.078068529,Constant,1,49,-4.0,1.3,1,36,.9729
1777557131.075673175,Constant,1,45,0.0,0.2,0,20,1.0000
1777557132.077059959,Constant,1,43,0.0,-0.1,1,31,.9687
1777557133.067230860,Constant,1,47,0.0,0.6,1,16,.9411
1777557134.065262850,Constant,1,48,0.0,-0.5,1,28,.9655
1777557135.068110808,Constant,1,49,0.0,1.9,2,16,.8888
1777557136.069306765,Constant,1,50,0.0,3.7,1,21,.9545
1777557137.076180261,Constant,1,49,0.0,1.6,1,16,.9411
1777557138.069774232,Constant,1,47,-3.0,1.0,1,21,.9545
1777557139.065117990,Constant,1,50,0.0,3.9,2,7,.7777
1777557140.070377348,Constant,1,46,19.1,0.6,1,21,.9545
1777557141.072009398,Constant,1,40,0.0,-2.0,3,13,.8125
