timestamp,label,nof_ues,cqi,pusch_snr,pucch_snr,dl_ok,dl_nok,dl_bler
1777571082.760998889,Normal,1,50,0.0,4.7,0,0,0.0
1777571083.711923335,Normal,1,50,29.4,5.3,0,0,0.0
1777571084.706346519,Normal,1,50,0.0,5.4,0,0,0.0
1777571085.701984769,Normal,1,50,29.9,4.9,0,0,0.0
1777571086.701536237,Normal,1,50,30.3,4.9,0,0,0.0
1777571087.711927371,Normal,1,43,0.0,2.3,3,0,0
1777571088.707207359,Normal,1,50,0.0,4.2,0,0,0.0
1777571089.709531066,Normal,1,43,-18.7,2.4,0,0,0.0
1777571090.709321048,Normal,1,50,0.0,4.8,0,0,0.0
1777571091.710002488,Normal,1,50,0.0,4.2,0,0,0.0
1777571092.703809112,Normal,1,40,0.0,1.0,0,0,0.0
1777571093.710132121,Normal,1,50,0.0,4.4,0,0,0.0
1777571094.708316604,Normal,1,50,0.0,4.9,0,0,0.0
1777571095.702025488,Normal,1,50,0.0,4.6,0,0,0.0
1777571096.704759597,Normal,1,50,0.0,5.3,0,0,0.0
1777571097.703973015,Normal,1,50,0.0,4.2,0,0,0.0
1777571098.706278640,Normal,1,50,0.0,5.0,0,0,0.0
1777571099.713506698,Normal,1,33,0.0,-3.7,1,9,.9000
1777571100.721079265,Normal,1,35,-27.5,-3.6,4,15,.7894
1777571101.716602253,Normal,1,50,0.0,4.3,0,0,0.0
1777571102.699302454,Normal,1,50,0.0,4.7,0,0,0.0
1777571103.708027387,Normal,1,50,0.0,5.3,0,0,0.0
1777571104.710343310,Normal,1,50,25.2,5.4,0,0,0.0
1777571105.710504174,Normal,1,50,0.0,5.1,0,0,0.0
1777571106.709517967,Normal,1,50,0.0,4.9,0,0,0.0
1777571107.703965091,Normal,1,50,0.0,4.7,0,0,0.0
1777571108.706818463,Normal,1,50,31.0,4.6,0,0,0.0
1777571109.706394434,Normal,1,50,30.5,4.3,0,0,0.0
1777571110.706772893,Normal,1,50,0.0,5.4,0,0,0.0
1777571111.711527934,Normal,1,34,-16.4,-1.2,0,0,0.0
1777571112.701570191,Normal,1,46,0.0,3.1,0,0,0.0
1777571113.709830915,Normal,1,43,-28.0,2.5,0,0,0.0
1777571114.706571571,Normal,1,50,0.0,4.8,0,0,0.0
1777571115.704473369,Normal,1,50,0.0,4.9,0,0,0.0
1777571116.710201142,Normal,1,50,0.0,4.9,0,0,0.0
1777571117.704620161,Normal,1,50,0.0,5.3,0,0,0.0
1777571118.710825853,Normal,1,50,0.0,4.9,0,0,0.0
1777571119.708204504,Normal,1,50,0.0,5.3,0,0,0.0
1777571120.705589341,Normal,1,50,0.0,4.2,0,0,0.0
1777571121.711676248,Normal,1,50,0.0,4.7,0,0,0.0
1777571122.715000387,Normal,1,40,0.0,1.4,0,0,0.0
1777571123.717885262,Normal,1,41,0.0,0.0,0,5,1.0000
1777571124.707092670,Normal,1,50,0.0,4.7,1,0,0
1777571125.707479311,Normal,1,50,0.0,5.3,0,0,0.0
1777571126.704309459,Normal,1,50,0.0,4.1,0,0,0.0
1777571127.704999314,Normal,1,50,0.0,4.2,0,0,0.0
1777571128.714019076,Normal,1,50,0.0,5.1,0,0,0.0
1777571129.703606543,Normal,1,50,0.0,5.0,0,0,0.0
1777571130.705037455,Normal,1,50,0.0,4.7,0,0,0.0
1777571131.708018830,Normal,1,50,0.0,5.0,0,0,0.0
1777571132.707076838,Normal,1,50,0.0,5.1,0,0,0.0
1777571133.707720422,Normal,1,50,0.0,4.9,0,0,0.0
1777571134.701964916,Normal,1,50,19.4,5.1,0,0,0.0
1777571135.705588708,Normal,1,47,0.0,3.5,0,0,0.0
1777571136.706056822,Normal,1,39,-22.3,1.3,0,0,0.0
1777571137.702782397,Normal,1,46,-33.4,2.6,0,0,0.0
1777571138.704864212,Normal,1,50,0.0,5.7,0,0,0.0
1777571139.704154023,Normal,1,50,0.0,4.6,0,0,0.0
1777571140.707101495,Normal,1,50,0.0,5.1,0,0,0.0
1777571141.710373464,Normal,1,50,19.3,4.7,0,0,0.0
1777571142.705547238,Normal,1,50,0.0,3.7,0,0,0.0
1777571143.709789718,Normal,1,50,0.0,4.8,0,0,0.0
1777571144.706131109,Normal,1,50,0.0,5.2,0,0,0.0
1777571145.704917285,Normal,1,50,0.0,5.1,0,0,0.0
1777571146.704374410,Normal,1,50,30.9,5.0,0,0,0.0
1777571147.705031943,Normal,1,50,30.8,5.0,0,0,0.0
1777571148.708910701,Normal,1,45,0.0,1.8,3,3,.5000
1777571149.709328990,Normal,1,50,0.0,4.6,0,0,0.0
1777571150.704533485,Normal,1,45,0.0,2.4,0,0,0.0
1777571151.704668240,Normal,1,50,0.0,4.1,0,0,0.0
1777571152.705244157,Normal,1,45,0.0,2.9,0,0,0.0
1777571153.706216458,Normal,1,50,0.0,4.8,0,0,0.0
1777571154.709828217,Normal,1,50,0.0,5.3,0,0,0.0
1777571155.709728564,Normal,1,50,0.0,4.6,0,0,0.0
1777571156.706547681,Normal,1,50,0.0,4.6,0,0,0.0
1777571157.706496099,Normal,1,50,0.0,5.0,0,0,0.0
1777571158.706584722,Normal,1,50,0.0,4.6,0,0,0.0
1777571159.702358391,Normal,1,50,0.0,4.4,0,0,0.0
1777571160.705181107,Normal,1,41,0.0,0.3,4,0,0
1777571161.703028386,Normal,1,50,31.2,4.7,0,0,0.0
1777571162.705674415,Normal,1,50,30.8,4.3,0,0,0.0
1777571163.704436894,Normal,1,50,0.0,4.4,0,0,0.0
1777571164.701885082,Normal,1,50,29.6,5.0,0,0,0.0
1777571165.700793943,Normal,1,50,0.0,5.7,0,0,0.0
1777571166.705273024,Normal,1,50,0.0,4.3,0,0,0.0
1777571167.707002211,Normal,1,50,0.0,4.7,0,0,0.0
1777571168.704920885,Normal,1,50,0.0,4.6,0,0,0.0
1777571169.706201520,Normal,1,50,0.0,4.4,0,0,0.0
1777571170.706220499,Normal,1,50,0.0,5.8,0,0,0.0
1777571171.706554578,Normal,1,50,0.0,4.8,0,0,0.0
1777571172.712859717,Normal,1,43,0.0,2.1,1,5,.8333
1777571173.706248298,Normal,1,50,30.8,5.0,0,0,0.0
1777571174.705570458,Normal,1,50,31.8,4.6,0,0,0.0
1777571175.707855252,Normal,1,50,30.0,5.1,0,0,0.0
1777571176.710197877,Normal,1,50,0.0,4.6,0,0,0.0
1777571177.699659161,Normal,1,50,29.9,4.6,0,0,0.0
1777571178.707763589,Normal,1,50,0.0,4.4,0,0,0.0
1777571179.705508037,Normal,1,50,0.0,4.0,0,0,0.0
1777571180.704155629,Normal,1,50,0.0,4.7,0,0,0.0
1777571181.707712972,Normal,1,50,0.0,5.1,0,0,0.0
1777571182.708922025,Normal,1,50,0.0,5.0,0,0,0.0
1777571183.705087768,Normal,1,50,0.0,4.7,0,0,0.0
1777571184.707921765,Normal,1,37,0.0,-1.1,3,5,.6250
1777571185.711316791,Normal,1,50,0.0,4.8,0,0,0.0
1777571186.706878509,Normal,1,50,30.6,5.4,0,0,0.0
1777571187.711271099,Normal,1,50,0.0,4.9,0,0,0.0
1777571188.700716663,Normal,1,50,0.0,5.0,0,0,0.0
1777571189.703310891,Normal,1,50,0.0,4.7,0,0,0.0
1777571190.705740719,Normal,1,50,0.0,4.7,0,0,0.0
1777571191.704991550,Normal,1,50,30.4,4.1,0,0,0.0
1777571192.703005654,Normal,1,50,0.0,4.5,0,0,0.0
1777571193.718739779,Normal,1,50,0.0,4.7,0,0,0.0
1777571194.712812396,Normal,1,50,0.0,4.5,0,0,0.0
1777571195.706478742,Normal,1,50,0.0,4.6,0,0,0.0
1777571196.704277644,Normal,1,40,29.6,1.4,0,0,0.0
1777571197.708565752,Normal,1,50,0.0,4.2,0,0,0.0
1777571198.704936813,Normal,1,50,0.0,4.7,0,0,0.0
1777571199.705789537,Normal,1,50,0.0,5.2,0,0,0.0
1777571200.708996065,Normal,1,50,0.0,5.2,0,0,0.0
1777571201.708304593,Normal,1,50,0.0,5.4,0,0,0.0
1777571210.706816948,Constant,1,45,5.0,1.4,2,33,.9428
1777571211.707513235,Constant,1,49,0.0,0.9,0,31,1.0000
1777571212.710878926,Constant,1,48,4.3,-0.1,0,28,1.0000
1777571213.710252300,Constant,1,49,0.0,1.5,0,31,1.0000
