timestamp,label,nof_ues,cqi,pusch_snr,pucch_snr,dl_ok,dl_nok,dl_bler
1777556642.011455080,Normal,1,50,0.0,4.5,0,0,0.0
1777556642.920068394,Normal,1,50,0.0,5.3,0,0,0.0
1777556643.916803317,Normal,1,50,0.0,4.4,0,0,0.0
1777556644.920499267,Normal,1,50,29.7,4.6,0,0,0.0
1777556645.927055676,Normal,1,50,29.0,4.4,0,0,0.0
1777556646.926721497,Normal,1,50,30.8,4.6,0,0,0.0
1777556647.924117380,Normal,1,50,0.0,5.5,0,0,0.0
1777556648.920362280,Normal,1,50,30.2,4.7,0,0,0.0
1777556649.917395560,Normal,1,50,0.0,4.4,0,0,0.0
1777556650.924910793,Normal,1,50,0.0,4.3,0,0,0.0
1777556745.918554152,Constant_amp0.1,1,50,0.0,5.0,0,0,0.0
1777556746.920402858,Constant_amp0.1,1,50,0.0,5.1,0,0,0.0
1777556747.919870100,Constant_amp0.1,1,50,0.0,5.1,0,0,0.0
1777556748.923215708,Constant_amp0.1,1,50,0.0,5.0,0,0,0.0
1777556749.920189047,Constant_amp0.1,1,50,0.0,4.6,0,0,0.0
1777556750.921437042,Constant_amp0.1,1,50,0.0,5.0,0,0,0.0
1777556751.923037105,Constant_amp0.1,1,50,30.5,5.1,0,0,0.0
1777556752.921563687,Constant_amp0.1,1,50,0.0,5.0,0,0,0.0
1777556753.926163458,Constant_amp0.1,1,50,0.0,5.0,0,0,0.0
1777556754.921716688,Constant_amp0.1,1,50,0.0,4.6,0,0,0.0
1777556775.928695030,Constant_amp0.3,1,50,0.0,4.2,0,0,0.0
1777556776.920851152,Constant_amp0.3,1,50,30.4,4.5,0,0,0.0
1777556777.926435159,Constant_amp0.3,1,50,0.0,4.5,0,0,0.0
1777556778.922461159,Constant_amp0.3,1,50,0.0,4.2,0,0,0.0
1777556779.920712437,Constant_amp0.3,1,50,0.0,4.8,0,0,0.0
1777556780.928113040,Constant_amp0.3,1,50,0.0,3.5,0,0,0.0
1777556781.917400408,Constant_amp0.3,1,50,0.0,5.6,0,0,0.0
1777556782.919931458,Constant_amp0.3,1,50,0.0,5.6,0,0,0.0
1777556783.928413757,Constant_amp0.3,1,50,0.0,4.4,0,0,0.0
1777556784.927231094,Constant_amp0.3,1,50,0.0,4.9,0,0,0.0
1777556803.959806048,Constant_amp0.5,1,49,29.2,4.4,0,0,0.0
1777556804.925459923,Constant_amp0.5,1,50,0.0,3.7,0,5,1.0000
1777556805.925447190,Constant_amp0.5,1,50,0.0,4.2,0,0,0.0
1777556806.925573255,Constant_amp0.5,1,50,0.0,4.5,0,0,0.0
1777556807.921832696,Constant_amp0.5,1,49,0.0,4.0,0,5,1.0000
1777556808.925257196,Constant_amp0.5,1,50,0.0,2.8,1,2,.6666
1777556809.923373646,Constant_amp0.5,1,49,30.7,4.8,1,12,.9230
1777556810.927265636,Constant_amp0.5,1,49,30.6,3.4,4,18,.8181
1777556811.921675418,Constant_amp0.5,1,50,0.0,4.5,0,0,0.0
1777556812.920981555,Constant_amp0.5,1,50,30.3,4.1,0,0,0.0
1777556840.929857890,Constant_amp0.7,1,39,0.0,-5.4,3,40,.9302
1777556841.923700040,Constant_amp0.7,1,7,-20.3,-13.3,1,43,.9772
1777556842.928713879,Constant_amp0.7,1,0,0.0,-13.0,0,5,1.0000
1777556843.921978352,Constant_amp0.7,1,0,0.0,-14.0,2,24,.9230
1777556844.927906398,Constant_amp0.7,1,10,-23.5,-11.5,1,19,.9500
1777556845.924859602,Constant_amp0.7,1,31,0.0,-7.9,3,39,.9285
1777556846.935278349,Constant_amp0.7,1,0,0.0,-13.8,1,8,.8888
1777556847.924676547,Constant_amp0.7,0,,,,,,0.0
1777556848.918280130,Constant_amp0.7,0,,,,,,0.0
1777557017.070524566,Constant_amp0.6,1,49,0.0,0.2,1,30,.9677
1777557018.077161054,Constant_amp0.6,1,49,0.0,0.5,2,27,.9310
1777557019.067056775,Constant_amp0.6,1,50,0.0,3.6,0,15,1.0000
1777557020.067813636,Constant_amp0.6,1,49,0.0,1.4,1,21,.9545
1777557021.070564150,Constant_amp0.6,1,48,0.0,-0.8,1,36,.9729
1777557022.068623548,Constant_amp0.6,1,49,4.0,1.0,3,18,.8571
1777557023.069102847,Constant_amp0.6,1,47,0.0,1.6,4,10,.7142
1777557024.063939981,Constant_amp0.6,1,48,0.0,1.3,3,32,.9142
1777557025.069742244,Constant_amp0.6,1,48,-7.9,0.9,4,24,.8571
1777557026.069397458,Constant_amp0.6,1,48,0.0,1.5,3,23,.8846
1777557027.070011911,Constant_amp0.6,1,48,0.0,1.5,1,26,.9629
1777557028.071574761,Constant_amp0.6,1,46,4.6,2.5,2,17,.8947
1777557029.068809143,Constant_amp0.6,1,50,0.0,3.7,1,6,.8571
1777557030.068395943,Constant_amp0.6,1,48,29.6,1.8,2,24,.9230
